Value,Count,Column
1,17,No.  Movie
10,14,No.  Movie
11,12,No.  Movie
12,12,No.  Movie
13,17,No.  Movie
14,20,No.  Movie
15,15,No.  Movie
16,13,No.  Movie
17,14,No.  Movie
18,18,No.  Movie
19,15,No.  Movie
2,12,No.  Movie
20,18,No.  Movie
21,10,No.  Movie
22,15,No.  Movie
23,15,No.  Movie
24,17,No.  Movie
25,9,No.  Movie
26,13,No.  Movie
27,12,No.  Movie
28,17,No.  Movie
29,13,No.  Movie
3,17,No.  Movie
30,23,No.  Movie
31,11,No.  Movie
32,10,No.  Movie
33,12,No.  Movie
34,11,No.  Movie
35,10,No.  Movie
36,8,No.  Movie
37,19,No.  Movie
38,15,No.  Movie
39,16,No.  Movie
4,16,No.  Movie
40,20,No.  Movie
41,15,No.  Movie
42,20,No.  Movie
5,16,No.  Movie
6,21,No.  Movie
7,17,No.  Movie
8,12,No.  Movie
9,19,No.  Movie
Barbie,52,Barbie Cast
Barbie Brooklyn,4,Barbie Cast
Christie,1,Barbie Cast
Courtney,1,Barbie Cast
Kelly / Chelsea,18,Barbie Cast
Ken,24,Barbie Cast
Raquelle,3,Barbie Cast
Skipper,11,Barbie Cast
Stacie,13,Barbie Cast
Teresa,7,Barbie Cast
Tommy,4,Barbie Cast
nan,488,Barbie Cast
Blue,1,Skin Tone
Brown,4,Skin Tone
Deep,18,Skin Tone
Gray,2,Skin Tone
Green,6,Skin Tone
Light,113,Skin Tone
Light Medium,400,Skin Tone
Light Purple,1,Skin Tone
Medium,49,Skin Tone
Medium Deep,15,Skin Tone
Pink,9,Skin Tone
Purple,2,Skin Tone
Purple and Yellow,2,Skin Tone
White,2,Skin Tone
Yellow,2,Skin Tone
Amber,2,Eyes
Black,2,Eyes
Black/Green,1,Eyes
Blue,234,Eyes
Brown,214,Eyes
Deep,8,Eyes
Deep Blue,7,Eyes
Deep Brown,1,Eyes
Gray,7,Eyes
Green,85,Eyes
Hazel,2,Eyes
Light Blue,10,Eyes
Light Brown,13,Eyes
Light Green,5,Eyes
Light Purple,1,Eyes
Light Teal,3,Eyes
Multicolor,1,Eyes
Pink,1,Eyes
Purple,18,Eyes
Teal,8,Eyes
Yellow,2,Eyes
Yellow/Blue,1,Eyes
Black,5,Hair
Blonde,155,Hair
Blonde/Blue,2,Hair
Blonde/Pink,5,Hair
Blue,14,Hair
Blue/Pink,3,Hair
Blue/Silver,1,Hair
Blue/Yellow,1,Hair
Brown,166,Hair
Brown/Blonde,1,Hair
Brown/Blue,2,Hair
Brown/Pink,2,Hair
Brown/Purple,4,Hair
Dark,41,Hair
Dark Blonde,3,Hair
Dark Blue,1,Hair
Dark Brown,24,Hair
Dark Brown/Pink,1,Hair
Dark Gray,11,Hair
Dark Pink,1,Hair
Dark Red,3,Hair
Dark/Blue,1,Hair
Dark/Gray,1,Hair
Dark/White,1,Hair
Deep Brown,2,Hair
Gray,35,Hair
Gray/White,1,Hair
Green,9,Hair
Hazel,1,Hair
Light Blonde,7,Hair
Light Brown,10,Hair
Light Gray,9,Hair
Light Gray/White,1,Hair
Medium Brown,1,Hair
Multicolor,1,Hair
Orange,7,Hair
Pale Blonde,1,Hair
Pink,21,Hair
Pink/Blue,1,Hair
Platinum Blonde,3,Hair
Purple,19,Hair
Purple/Orange,1,Hair
Purple/Yellow,2,Hair
Rainbow,2,Hair
Red,3,Hair
Red/Cyan,1,Hair
Red/Orange,1,Hair
Redhair,21,Hair
Silver,3,Hair
Strawberry Blonde,2,Hair
Violet/Pink,1,Hair
White,8,Hair
White/Gray,1,Hair
Yellow,2,Hair
Female,417,Gender
Male,209,Gender
