Node,Degree,Community
1,25,0
13,17,0
14,16,0
16,13,0
19,16,0
23,13,0
24,16,0
25,18,0
3,23,0
32,16,0
33,17,0
34,16,0
37,23,0
4,15,0
41,18,0
42,26,0
Barbie Brooklyn,8,0
Black/Green,3,0
Brown,98,0
Brown/Blonde,4,0
Brown/Pink,7,0
Christie,5,0
Dark,39,0
Dark Blue,4,0
Dark Gray,17,0
Dark Pink,4,0
Dark/Blue,4,0
Dark/Gray,4,0
Dark/White,4,0
Deep,32,0
Deep Brown,10,0
Gray,42,0
Ken,33,0
Light Gray,15,0
Light Gray/White,4,0
Male,85,0
Medium,49,0
Medium Brown,5,0
Medium Deep,20,0
Multicolor,3,0
Silver,9,0
Teal,15,0
Teresa,13,0
Tommy,10,0
White,17,0
White/Gray,3,0
Yellow/Blue,4,0
11,16,1
12,17,1
15,12,1
17,21,1
18,21,1
2,19,1
20,15,1
21,14,1
22,17,1
26,17,1
27,17,1
29,14,1
31,18,1
36,14,1
38,21,1
39,23,1
40,26,1
9,22,1
Barbie,51,1
Blonde,60,1
Blonde/Pink,10,1
Blue,82,1
Blue/Yellow,4,1
Brown/Purple,9,1
Dark Blonde,9,1
Dark Brown,30,1
Dark Red,6,1
Deep Blue,15,1
Female,111,1
Kelly / Chelsea,21,1
Light Blonde,12,1
Light Blue,17,1
Light Brown,35,1
Light Green,14,1
Light Medium,97,1
Light Teal,7,1
Pink,28,1
Purple/Orange,4,1
Red,7,1
Skipper,16,1
Stacie,18,1
10,20,2
28,18,2
30,24,2
35,20,2
5,18,2
6,22,2
7,16,2
8,20,2
Amber,5,2
Black,9,2
Blonde/Blue,9,2
Blue/Pink,4,2
Blue/Silver,4,2
Brown/Blue,7,2
Courtney,5,2
Dark Brown/Pink,4,2
Gray/White,4,2
Green,69,2
Hazel,7,2
Light,78,2
Light Purple,8,2
Orange,13,2
Pale Blonde,4,2
Pink/Blue,4,2
Platinum Blonde,8,2
Purple,40,2
Purple and Yellow,5,2
Purple/Yellow,5,2
Rainbow,7,2
Raquelle,6,2
Red/Cyan,4,2
Red/Orange,4,2
Redhair,26,2
Strawberry Blonde,5,2
Violet/Pink,4,2
Yellow,13,2
